card_name,description
Маг,"Этот год похож на кнопку “старт”: многое будет зависеть от того, как ты формулируешь желания и как быстро переходишь от идеи к действию. Будет много контактов, разговоров, предложений — и среди них окажутся те самые, которые запускают удачные цепочки событий. Важно не ждать “идеального момента”: Маг работает, когда ты пробуешь, договариваешься, тестируешь и собираешь из разрозненного что-то цельное. Твои слова в этом году особенно “живые”: сказанное вслух быстрее становится реальностью — и в плюс, и в минус.
Небольшие подсказки:
•	Сформулируй 3 главные цели на год одной фразой каждая (просто и конкретно).
•	Чаще спрашивай себя: “Что я могу сделать с тем, что у меня уже есть?”
•	Не молчи про идеи: одна встреча может решить больше, чем месяц раздумий."
Верховная Жрица,"Год про внутреннюю опору. Не про шум и гонку, а про тонкое чувство “мне туда” или “мне не надо”. Если ты обычно сомневаешься, в этом году интуиция будет подсказывать удивительно точно — особенно в людях и выборе направления. Могут тянуть темы психологии, смыслов, “закрытой” информации, которую не обсуждают поверхностно. Иногда захочется уединения: это не минус, а способ восстановить ясность.
Небольшие подсказки:
•	Давай себе тишину: хотя бы 15 минут в день без ленты и разговоров.
•	Чувствуешь “не то” — перепроверь: документы, обещания, мотивацию людей.
•	Выбери одну тему заботы на год (тело/проект/дом/питомец) и веди её спокойно, без рывков."
Императрица,"Год комфорта, красоты и “своего места”. Хочется, чтобы дома было уютно, в теле — хорошо, в жизни — приятно. И это не каприз: через заботу о себе ты включаешь ресурс, который потом влияет на деньги, отношения и уверенность. Может прийти желание обновления: интерьер, стиль, привычки, режим, тело — всё, что помогает чувствовать себя “в своей силе”. При этом важный урок — не тащить всё одной. Чем больше ты делегируешь и просишь помощи, тем быстрее всё начинает складываться.
Небольшие подсказки:
•	Спроси себя: “Мне так удобно жить?” и исправь хотя бы одну неудобную вещь.
•	Делегируй минимум 20% задач — пусть кто-то помогает тебе.
•	Делай выборы в пользу качества: качественный отдых, еда, окружение, забота о теле."
Император,"Этот год про порядок, взрослые решения и финансовую устойчивость. Ты можешь собрать свою жизнь как систему: понять, что приносит деньги, что съедает время, где нужен контроль, где — правила. Хорошее время для работы, роста, новых проектов, темы “я отвечаю за результат”. Появится желание быть лидером — или жизнь сама поставит в позицию, где нужно руководить и требовать нормального обмена: “я делаю — ты тоже делаешь”. Важно не превратить год в бесконечную работу: тело и здоровье должны идти рядом.
Небольшие подсказки:
•	Разложи финансы по полкам: доходы, обязательные траты, цели, резерв.
•	Учись говорить “мне нужно вот так” — без оправданий и лишней мягкости.
•	Раз в месяц проверяй баланс сфер: работа/дом/здоровье/отношения."
Иерофант,"Год обучения, смысла и правильных опор. Тебе может захотеться наставника, курса, системы — чего-то, что структурирует голову и даёт уверенность. При этом информации будет много, и не вся полезная: важно перепроверять факты и не верить первым обещаниям “быстро и легко”. Год хорошо подходит для режима, дисциплины, полезной рутины, которая укрепляет и психику, и тело. Ещё одна сильная линия — передача знаний: ты можешь не только учиться, но и делиться тем, что уже умеешь.
Небольшие подсказки:
•	Выбери одну систему обучения и держись её, не распыляйся.
•	Любую “громкую” информацию проверяй дважды.
•	Введи простую рутину: сон, питание, движение, порядок в делах — и год станет устойчивее."
Влюбленные,"Год про выбор сердцем. Будут развилки: в отношениях, работе, проектах — и каждый раз важно спрашивать не “как правильно”, а “как мне по-настоящему”. Это год, где компромисс против себя быстро даёт внутреннюю усталость, а честный выбор — облегчение и красивый рост. Может усилиться тема любви: больше романтики, красоты, притяжения, желания быть рядом “по-настоящему”. В делах тоже работает принцип любви: то, что нравится, будет получаться легче и приносить больше.
Небольшие подсказки:
•	Перед важным решением спроси: “Мне это подходит? Я хочу этим жить?”
•	Если выбор между “надо” и “люблю”, чаще выигрывает “люблю” — там энергия.
•	Не переламывай себя ради чужого удобства: цена будет слишком высокой."
Колесница,"Год движения и скорости. Много задач, много событий, много “надо успеть” — и при правильном управлении это даст мощный результат. Колесница любит дисциплину: график, режим, приоритеты. Если ты пытаешься гнаться за всем сразу, появляется нервозность и выгорание. Зато если выбрал курс и держишь его — год становится победным. Также важна тема тела: выносливость, питание, спорт, прогулки. Твоё состояние будет напрямую влиять на успех.
Небольшие подсказки:
•	Сделай понятный график: ты удивишься, сколько энергии высвободится.
•	Не разгоняйся без отдыха: тормоза и паузы — часть победы.
•	Больше движения: ходьба, спорт, поездки — год любит перемещения."
Справедливость,"Год честной обратной связи: что ты отдаёшь миру, то и возвращается. Если действуешь чисто и по правилам — получаешь стабильность. Если хитришь, откладываешь, обещаешь лишнее — всё всплывает быстрее обычного. Это хороший год для договоров, официальных решений, наведения порядка в документах и личных границах. Также он учит спокойной голове: меньше импульсивных реакций, больше взвешенности.
Небольшие подсказки:
•	Прежде чем действовать, взвесь “за/против” — прямо списком на бумаге.
•	Честность с собой важнее, чем правильный образ для других.
•	Разбирай эмоции: что именно тебя цепляет — и почему. Это даст большую свободу."
Отшельник,"Этот год может захотеть тишины. Не в смысле одиночества “плохо”, а в смысле: тебе нужно пространство, чтобы услышать себя и не растворяться в чужих желаниях. Ты начнёшь яснее видеть, кто твой человек, а кто просто шум. Иногда будет желание уйти от лишних контактов, социальных перегрузок, бесконечной информации. И это правильно: в тишине рождаются сильные решения. Год подходит для глубокого самоанализа, аккуратного роста и очищения окружения.
Небольшие подсказки:
•	Дай себе “час без мира” хотя бы раз в неделю: тишина, прогулка, мысли.
•	Урежь информационный шум — это поможет сохранить собственный порядок.
•	Не бойся отходить от людей, рядом с которыми тебе тяжело."
Колесо Фортуны,"Год поворотов и возможностей. Иногда будет ощущение, что события меняются сами собой, и ты как будто входишь в поток: нужные встречи, идеи, шансы. Но у колеса есть особенность — оно крутится. Если нет внутренней опоры, можно уйти в качели: то “всё прекрасно”, то “ничего не понятно”. Поэтому главная задача — ловить удачу, но держать баланс. Это год, где стоит говорить “да” перспективным возможностям и быть внимательнее к знакам и совпадениям.
Небольшие подсказки:
•	Держи якоря: сон, деньги, базовый режим — чтобы тебя не мотало.
•	Смотри, что жизнь предлагает, и действуй, если откликается.
•	Не драматизируй временные спады: это часть движения колеса."
